category,name,description,address,distance,link
Beaches,Broadbeach,Patrolled beach perfect for swimming and surfing,Broadbeach Esplanade,5 min walk,https://maps.google.com/?q=Broadbeach+Beach+Gold+Coast
Beaches,Surfers Paradise Beach,Iconic Gold Coast beach with golden sand,Surfers Paradise,10 min drive,https://maps.google.com/?q=Surfers+Paradise+Beach
Shopping,Pacific Fair Shopping Centre,"Major shopping centre with 400+ stores, dining and cinema","Hooker Blvd, Broadbeach",5 min walk,https://maps.google.com/?q=Pacific+Fair+Shopping+Centre+Broadbeach
Shopping,Oasis Shopping Centre,Boutique shopping with cafes and restaurants,"Victoria Avenue, Broadbeach",3 min walk,https://maps.google.com/?q=Oasis+Shopping+Centre+Broadbeach
Restaurants,The Star Gold Coast,"Casino complex with multiple restaurants, bars and entertainment","1 Casino Drive, Broadbeach",8 min walk,https://maps.google.com/?q=The+Star+Gold+Coast
Restaurants,Kiyomi,Modern Japanese restaurant at The Star,The Star Gold Coast,8 min walk,https://maps.google.com/?q=Kiyomi+The+Star+Gold+Coast
Restaurants,Mamasan,Contemporary Asian fusion dining,Broadbeach,5 min walk,https://maps.google.com/?q=Mamasan+Broadbeach
Coffee & Cafes,Bam Bam Bakehouse,Artisan bakery and cafe with excellent coffee,"Surf Parade, Broadbeach",4 min walk,https://maps.google.com/?q=Bam+Bam+Bakehouse+Broadbeach
Coffee & Cafes,Elk Espresso,Popular breakfast spot and specialty coffee,Broadbeach,6 min walk,https://maps.google.com/?q=Elk+Espresso+Broadbeach
Grocery,Coles Pacific Fair,Full-service supermarket,Pacific Fair Shopping Centre,5 min walk,https://maps.google.com/?q=Coles+Pacific+Fair+Broadbeach
Grocery,Woolworths Oasis,Supermarket with extended hours,Oasis Shopping Centre,3 min walk,https://maps.google.com/?q=Woolworths+Oasis+Broadbeach
Activities,Kurrawa Beach & Park,"Beach with playground, BBQ facilities and surf club",Broadbeach,10 min walk,https://maps.google.com/?q=Kurrawa+Beach+Broadbeach
Activities,HOTA (Home of the Arts),"Gallery, theatre and outdoor cinema",Surfers Paradise,5 min drive,https://maps.google.com/?q=HOTA+Home+of+the+Arts+Gold+Coast
Activities,Infinity Attraction,Interactive light and mirror maze experience,Surfers Paradise,10 min drive,https://maps.google.com/?q=Infinity+Attraction+Surfers+Paradise
Theme Parks,Movie World,Hollywood-themed amusement park,Oxenford,30 min drive,https://maps.google.com/?q=Warner+Bros+Movie+World+Gold+Coast
Theme Parks,Sea World,Marine park with rides and animal exhibits,Main Beach,20 min drive,https://maps.google.com/?q=Sea+World+Gold+Coast
Theme Parks,Dreamworld,Australia's largest theme park,Coomera,35 min drive,https://maps.google.com/?q=Dreamworld+Gold+Coast
